Регион,Раздел,Название документа,Ссылка,Теги
Международные,Сосудистая патология (AHA/ESO/SNIS),Spontaneous ICH (AHA 2022),https://www.ahajournals.org/doi/10.1161/STR.0000000000000407,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Acute Ischemic Stroke (AHA 2026),https://www.ahajournals.org/doi/10.1161/STR.0000000000000513,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Primary Prevention of Stroke (AHA 2024),https://www.ahajournals.org/doi/10.1161/STR.0000000000000475,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Brain AVMs (SNIS 2022),https://www.snisonline.org/wp-content/uploads/2023/01/SNISAVMGuideline2022.pdf,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Unruptured Aneurysms (ESO),https://doi.org/10.1177/23969873221099736,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Carotid Stenosis (ESO),https://doi.org/10.1177/23969873211012121,""
Международные,Нейротравма (BTF/CNS),Severe TBI Management (4th Ed.),https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/640b5e97fa1baa040e5c59af/1678466712870/Management_of_Severe_TBI_4th_Edition.pdf,""
Международные,Нейротравма (BTF/CNS),Surgical Management of TBI,https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/640b89e9cc9a866d67a4e1a0/1678477807080/Surgical_Management_of_TBI.pdf,""
Международные,Нейротравма (BTF/CNS),Decompressive Craniectomy (2020 Update),https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/67b7f33381fe2b55703c825c/1740108595387/Update_Severe_TBI_Decompressive_Craniectomy.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Low Back Pain (NASS),https://www.spine.org/Portals/0/assets/downloads/ResearchClinicalCare/Guidelines/LowBackPain.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Lumbar Disc Herniation (NASS),https://www.spine.org/Portals/0/Assets/Downloads/ResearchClinicalCare/Guidelines/LumbarDiscHerniation.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Cervical Radiculopathy (NASS),https://www.spine.org/Portals/0/Assets/Downloads/ResearchClinicalCare/Guidelines/CervicalRadiculopathy.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Acute Cervical Spine/SCI (CNS),https://www.cns.org/guidelines/management-acute-cervical-spine-spinal-cord-injuries/introduction,""
Международные,Функциональная / Боль / Общее,DBS for Parkinson's,https://www.cns.org/guidelines/subthalamic-nucleus-globus-pallidus-intermus-deep-brain-stimulation-parkinson/congress-of-neurological-surgeons-systematic-revie,""
Международные,Функциональная / Боль / Общее,Chiari Malformation,https://www.cns.org/guidelines/chiari-malformation/1-imaging,""
