Регион,Раздел,Название документа,Ссылка,Теги
Российские,Функциональная нейрохирургия и Эпилепсия,Синдромы сосудистой компрессии (тройничный нерв и др.),https://ruans.org/Text/Guidelines/cranial_nerves_vessel_compression.pdf,""
Российские,Функциональная нейрохирургия и Эпилепсия,Хронический нейропатический болевой синдром,https://ruans.org/Text/Guidelines/neuropathic_pain.pdf,""
Российские,Функциональная нейрохирургия и Эпилепсия,Нормотензивная гидроцефалия у взрослых,https://ruans.org/Text/Guidelines/hydrocephalus_adults.pdf,""
Российские,Функциональная нейрохирургия и Эпилепсия,Мальформация Киари у взрослых,https://ruans.org/Text/Guidelines/chiari_malformation_adults.pdf,""
Российские,Периферическая Нервная система,Краниальные мононейропатии,https://cr.minzdrav.gov.ru/preview-cr/895_1,""
Российские,Периферическая Нервная система,Мононевропатии,https://cr.minzdrav.gov.ru/preview-cr/988_1,""
Российские,Периферическая Нервная система,Повреждения и заболевания периферической нервной системы,https://ruans.org/Text/Guidelines/peripheral_nerves.pdf,""
Российские,Детская нейрохирургия,Черепно-мозговая травма у детей,https://cr.minzdrav.gov.ru/preview-cr/493_3,""
Российские,Детская нейрохирургия,Врожденные аномалии костей черепа и лица,https://cr.minzdrav.gov.ru/preview-cr/474_2,""
Российские,Детская нейрохирургия,Внутрижелудочковое нетравматическое кровоизлияние (плод/новорожденный),https://cr.minzdrav.gov.ru/preview-cr/948_1,""
Российские,Детская нейрохирургия,Несиндромальные краниосиностозы,https://ruans.org/Text/Guidelines/children_sinostosis.pdf,""
Российские,Детская нейрохирургия,Постгеморрагическая гидроцефалия у новорожденных,https://ruans.org/Text/Guidelines/newborns_hydrocephalus.pdf,""
Российские,Детская нейрохирургия,Синдром фиксированного спинного мозга,https://ruans.org/Text/Guidelines/fixed_spinal_cord_children.pdf,""
Российские,Детская нейрохирургия,Опухоли головного мозга у детей грудного возраста,https://ruans.org/Text/Guidelines/brain_tumors_infants.pdf,""
Российские,Детская нейрохирургия,Медуллобластомы у детей,https://ruans.org/Text/Guidelines/children_medulloblastomas.pdf,""
Российские,Детская нейрохирургия,Нейрохирургическое лечение ДЦП,https://ruans.org/Text/Guidelines/children_cerebral_paralysis.pdf,""
Российские,Инфекции и Прочее,Абсцессы и эмпиемы головного мозга,https://ruans.org/Text/Guidelines/abscess.pdf,""
Российские,Инфекции и Прочее,Нейрореабилитация в нейрохирургии,https://ruans.org/Text/Guidelines/neurorehabilitation.pdf,""
Российские,Инфекции и Прочее,Доброкачественная внутричерепная гипертензия,https://ruans.org/Text/Guidelines/benign_intracranial_hypertension.pdf,""
Международные,Нейроонкология (NCCN/ASCO/EANO),NCCN Guidelines: CNS Cancers (Adults),https://www.nccn.org/professionals/physician_gls/pdf/cns.pdf,""
Международные,Нейроонкология (NCCN/ASCO/EANO),GBM: Newly Diagnosed (CNS),https://www.cns.org/guidelines/management-newly-diagnosed-glioblastoma/Intro-newly%20diagnosed%20glioblastoma,""
Международные,Нейроонкология (NCCN/ASCO/EANO),GBM: Progressive (CNS),https://www.cns.org/guidelines/management-progressive-glioblastoma/guidelines-management-of-progressive-glioblastoma,""
Международные,Нейроонкология (NCCN/ASCO/EANO),GBM: SNO/EANO Consensus Review,https://academic.oup.com/neuro-oncology/article-abstract/23/3/502/6104916,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Diffuse Gliomas of Adulthood (EANO),https://www.eano.eu/publications/eano-guidelines/eano-guidelines-on-the-diagnosis-and-treatment-of-diffuse-gliomas-of-adulthood/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Diffuse Astrocytic/Oligodendroglial (ASCO-SNO),https://ascopubs.org/doi/10.1200/JCO-25-00250,""
Международные,Нейроонкология (NCCN/ASCO/EANO),IDH-Mutant Gliomas (SNO Consensus),https://academic.oup.com/neuro-oncology/advance-article/doi/10.1093/neuonc/noac207/6761148,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Low Grade Glioma Guidelines (CNS),https://www.cns.org/guidelines/low-grade-glioma/low-grade-glioma-guidelines,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Brain Mets: ASCO/SNO/ASTRO Guidelines,https://academic.oup.com/neuro-oncology/advance-article-abstract/doi/10.1093/neuonc/noab262/6470731,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Metastatic Brain Tumors (CNS),https://www.cns.org/guidelines/treatment-adults-metastatic-brain-tumors/guidelines-treatment-of-adults-with-metastatic-bra-2,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Brain Metastasis (EANO-ESMO),https://www.eano.eu/publications/eano-guidelines/eano-esmo-clinical-practice-guidelines-for-diagnosis-treatment-and-follow-up-of-patients-with-brain-metastasis-from-solid-tumours/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Leptomeningeal Mets (SNO/ASCO),https://academic.oup.com/neuro-oncology/article/26/10/1781/7696834,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Leptomeningeal Mets (EANO-ESMO 2023),https://www.eano.eu/publications/eano-guidelines/leptomeningeal-metastasis-from-solid-tumours-eano-esmo-clinical-practice-guideline-for-diagnosis-treatment-and-follow-up-2023/#c4194,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Meningiomas (EANO),https://www.eano.eu/publications/eano-guidelines/eano-guideline-on-the-diagnosis-and-management-of-meningiomas/#c2503,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Meningioma (ICOM Consensus),https://pubmed.ncbi.nlm.nih.gov/38695575/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Functioning Pituitary Adenomas (CNS),https://www.cns.org/guidelines/management-of-patients-with-functioning-pituitary-adenomas/role-of-medical-management-patients-with-functioni,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Nonfunctioning Pituitary Adenomas (CNS),https://www.cns.org/guidelines/management-nonfunctioning-pituitary-adenomas/1-introduction-methodology-3,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Vestibular Schwannoma (CNS),https://www.cns.org/guidelines/treatment-adults-vestibular-schwannoma/congress-of-neurological-surgeons-evidence-based-c,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Vestibular Schwannoma (EANO),https://www.eano.eu/publications/eano-guidelines/eano-guideline-on-the-diagnosis-and-treatment-of-vestibular-schwannoma/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),PCNSL Lymphoma (EANO),https://www.eano.eu/publications/eano-guidelines/eano-guidelines-for-treatment-of-primary-central-nervous-system-lymphoma-pcnsl/#c3596,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Intracranial Germ Cell Tumors (EANO/SNO),https://www.eano.eu/publications/eano-guidelines/eano-guideline-for-intracranial-germ-cell-tumors/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Germ Cell Tumors (Adolescents/Young Adults),https://academic.oup.com/neuro-oncology/advance-article/doi/10.1093/neuonc/noab252/6415260,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Ependymal Tumors (EANO),https://www.eano.eu/publications/eano-guidelines/eano-guidelines-for-the-diagnosis-and-treatment/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Pineal Parenchymal Tumors (SNO-EANO),https://academic.oup.com/neuro-oncology/advance-article/doi/10.1093/neuonc/noae128/7723335,""
Международные,Нейроонкология (NCCN/ASCO/EANO),RT for Grade 4 Glioma (ASTRO),https://www.practicalradonc.org/article/S1879,""
Международные,Нейроонкология (NCCN/ASCO/EANO),RT for IDH-Mutant Glioma (ASTRO),https://www.practicalradonc.org/article/S1879-8500(22)00144-8/fulltext,""
Международные,Нейроонкология (NCCN/ASCO/EANO),RT Delineation Glioblastoma (ESTRO-EANO),https://www.eano.eu/publications/eano-guidelines/estro-eano-guideline-on-target-delineation-and-radiotherapy-details-for-glioblastoma-2023/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),RT for Glioblastoma (Exec Summary),https://www.google.com/search?q=https://www.soc-neuro-onc.org/UploadedFiles/PDF_of_ASTRO_GBM_Guidelines.pdf,""
Международные,Нейроонкология (NCCN/ASCO/EANO),RT for Brain Metastases,https://www.practicalradonc.org/article/S1879-8500(22)00054-6/fulltext,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Molecular Diagnostics (WHO 2021),https://www.eano.eu/publications/eano-guidelines/molecular-diagnostic-tools-for-the-world-health-organization-who-2021-classification-of-gliomas-glioneuronal-and-neuronal-tumors-an-eano-guideline/#c4116,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Molecular Testing for Therapy Selection (EANO),https://www.eano.eu/publications/eano-guidelines/eano-guideline-on-rational-molecular-testing-of-gliomas-glioneuronal-and-neuronal-tumors-in-adults-for-targeted-therapy-selection/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),DNA Damage Response in Brain Tumors,https://pubmed.ncbi.nlm.nih.gov/38770568/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Brain Tumor-Related Epilepsy,https://academic.oup.com/neuro-oncology/advance-article/doi/10.1093/neuonc/noad154/7271494,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Anticonvulsant Prophylaxis,https://www.soc-neuro-onc.org/UploadedFiles/Walbert%20T%20Gerstner%20E_accepted_SNO%20and%20EANO%20guideline%20update_Anticonvulsant%20prophylaxis%20in%20GBM_Neuro%20Onc%202021.pdf,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Complications Management (EANO),https://www.eano.eu/publications/eano-guidelines/eano-guideline-on-diagnosis-and-management-of-complications-from-the-treatment-of-primary-central-nervous-system-tumors-in-adults/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Neuro/Vascular Complications (EANO-ESMO),https://www.eano.eu/publications/eano-guidelines/eano-esmo-clinical-practice-guidelines-for-prophylaxis-diagnosis-treatment-and-follow-up-neurological-and-vascular-complications-of-primary-and-secondary-brain-tumours/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Neurotoxicity (ESMO-EONS-EANO),https://www.eano.eu/publications/eano-guidelines/systemic-anticancer-therapy-induced-peripheral-and-central-neurotoxicity-esmo-eons-eano-clinical-practice-guidelines/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Immune-Related Adverse Events (Checkpoint),https://ascopubs.org/doi/abs/10.1200/JCO.21.01440,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Immune-Related Adverse Events (CAR T-Cell),https://ascopubs.org/doi/full/10.1200/JCO.21.01992,""
Международные,Нейроонкология (NCCN/ASCO/EANO),PET Imaging: Brain Metastases,https://www.eano.eu/publications/eano-guidelines/joint-eanmeanoranosnmmi-practice-guidelineprocedure-standard-for-pet-imaging-of-brain-metastases/#c5107,""
Международные,Нейроонкология (NCCN/ASCO/EANO),PET Imaging: Gliomas,https://www.eano.eu/publications/eano-guidelines/joint-eanmeanorano-practice-guidelines/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),MRI Protocol (High-Grade Gliomas),https://www.soc-neuro-onc.org/UploadedFiles/Consensus%20recommendations%20for%20a%20dynamic%20susceptibility%20contrast%20MRI%20protocol%20for%20use%20in%20highgrade%20gliomas.pdf,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Palliative Care in Glioma,https://www.eano.eu/publications/eano-guidelines/eano-guidelines-for-palliative-care-in-adults-with-glioma/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Medical Decision-Making Capacity,https://www.eano.eu/publications/eano-guidelines/european-association-of-neuro-oncology-palliative-care-task-force-determining-medical-decision-making-capacity-in-brain-tumor-patients-why-and-how/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Survivorship Care Plan,http://www.soc-neuro-onc.org/WEB/Resources_Content/Survivorship_Care_Plan.aspx,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Neuro-Oncology Quality Measurement,https://academic.oup.com/neuro-oncology/advance-article-abstract/doi/10.1093/neuonc/nox245/4840090,""
Международные,Нейроонкология (NCCN/ASCO/EANO),BBB Delivery &amp; Focused Ultrasound,https://academic.oup.com/neuro-oncology/advance-article/doi/10.1093/neuonc/noae087/7678782,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Endovascular Chemotherapy of CNS Tumors,https://www.snisonline.org/wp-content/uploads/2019/08/20190430111937Endovascular-Chemotherapy-of-Head-Neck-and-CNS-Tumors.pdf,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Acute Ischemic Stroke (AHA 2026),https://www.ahajournals.org/doi/10.1161/STR.0000000000000513,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Aneurysmal SAH (AHA 2023),https://www.ahajournals.org/doi/10.1161/STR.0000000000000436,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Spontaneous ICH (AHA 2022),https://www.ahajournals.org/doi/10.1161/STR.0000000000000407,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Spontaneous ICH (ESO 2025),https://doi.org/10.1177/23969873251340815,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Basilar Artery Occlusion (ESO 2024),https://doi.org/10.1177/23969873241257223,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Primary Prevention of Stroke (AHA 2024),https://www.ahajournals.org/doi/10.1161/STR.0000000000000475,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Secondary Prevention of Stroke (AHA),https://www.ahajournals.org/doi/10.1161/STR.0000000000000375,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Mechanical Thrombectomy (ESO),https://doi.org/10.1177/2396987319832140,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Endovascular Indications (AHA),https://www.ahajournals.org/doi/10.1161/CIR.0000000000000567,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Unruptured Aneurysms (ESO),https://doi.org/10.1177/23969873221099736,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Moyamoya Angiopathy (ESO),https://doi.org/10.1177/23969873221144089,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Intracranial Atherosclerotic Disease (ESO),https://doi.org/10.1177/23969873221099715,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Carotid Stenosis (ESO),https://doi.org/10.1177/23969873211012121,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Artery Dissection (ESO),https://doi.org/10.1177/23969873211046475,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Small Vessel Disease / Lacunar (ESO),https://doi.org/10.1177/23969873231219416,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Hemicraniectomy for Infarction (ESO),https://doi.org/10.1177/23969873211014112,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Brain AVMs (SNIS 2022),https://www.snisonline.org/wp-content/uploads/2023/01/SNISAVMGuideline2022.pdf,""
Международные,Сосудистая патология (AHA/ESO/SNIS),ELVO: Thrombectomy Techniques,https://www.snisonline.org/wp-content/uploads/2019/08/20190430112102ELVO-Techniques.pdf,""
Международные,Сосудистая патология (AHA/ESO/SNIS),ELVO: Prehospital,https://www.snisonline.org/wp-content/uploads/2019/08/20190430112003ELVO-Management-Prehospital.pdf,""
Международные,Сосудистая патология (AHA/ESO/SNIS),ELVO: Initial Hospital,https://www.snisonline.org/wp-content/uploads/2019/08/20190430112021ELVO-Management-Initial-Hospital.pdf,""
Международные,Сосудистая патология (AHA/ESO/SNIS),ELVO: Post-Thrombectomy,https://www.snisonline.org/wp-content/uploads/2019/08/20190430112041ELVO-Management-Post-Thrombectomy.pdf,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Thrombectomy in Special Populations,https://www.snisonline.org/wp-content/uploads/2023/01/SNISThrombectomyinSpecialPopulations2021.pdf,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Carotid Angioplasty and Stenting,https://www.snisonline.org/wp-content/uploads/2019/08/20190430111854Carotid-Artery-Angioplasty-and-Stenting.pdf,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Intracranial AV Shunts,https://www.snisonline.org/wp-content/uploads/2019/08/20190430111917Intracranial-AV-Shunts.pdf,""
Международные,Сосудистая патология (AHA/ESO/SNIS),"Head, Neck &amp; Brain Tumor Embolization",https://www.snisonline.org/wp-content/uploads/2019/08/20120914161948Head_NeckEmbo.pdf,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Cerebral Vasospasm,https://www.snisonline.org/wp-content/uploads/2019/08/20120914162031Vasospasm.pdf,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Cerebral Venous Sinus Thrombosis,https://www.snisonline.org/wp-content/uploads/2019/08/20190430112122CVST-Techniques.pdf,""
Международные,Сосудистая патология (AHA/ESO/SNIS),High Blood Pressure Management (2025),https://www.ahajournals.org/doi/10.1161/HYP.0000000000000249,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Perioperative Cardiac Management,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001285,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Vascular Graft Infections &amp; Mycotic Aneurysms,https://www.ahajournals.org/doi/10.1161/CIR.0000000000000457,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Cholesterol Management,https://www.ahajournals.org/doi/10.1161/CIR.0000000000000625,""
Международные,Сосудистая патология (AHA/ESO/SNIS),PFO Management after Stroke,https://doi.org/10.1177/23969873241247978,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Primary Angiitis of CNS (PACNS),https://doi.org/10.1177/23969873231190431,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Tenecteplase for Ischemic Stroke,https://doi.org/10.1177/23969873221150022,""
Международные,Сосудистая патология (AHA/ESO/SNIS),IVT before Mechanical Thrombectomy,https://doi.org/10.1177/23969873221076968,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Stroke in Women (Pregnancy/Postpartum),https://doi.org/10.1177/23969873221078696,""
Международные,Сосудистая патология (AHA/ESO/SNIS),BP Management in Stroke &amp; ICH,https://doi.org/10.1177/23969873211012133,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Reversal of Oral Anticoagulants,https://doi.org/10.1177/2396987319849763,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Adult Stroke Rehabilitation (AHA),https://www.ahajournals.org/doi/10.1161/STR.0000000000000098,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Visual Impairment Rehab (ESO),https://doi.org/10.1177/23969873251314693,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Motor Rehabilitation (ESO),https://doi.org/10.1177/23969873251338142,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Aphasia Rehabilitation (ESO),https://doi.org/10.1177/23969873241311025,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Cognitive Impairment (ESO-EAN),https://doi.org/10.1177/23969873211042192,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Post-Stroke Dysphagia,https://doi.org/10.1177/23969873211039721,""
Международные,Нейротравма (BTF/CNS),Severe TBI Management (4th Ed.),https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/640b5e97fa1baa040e5c59af/1678466712870/Management_of_Severe_TBI_4th_Edition.pdf,""
Международные,Нейротравма (BTF/CNS),Surgical Management of TBI,https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/640b89e9cc9a866d67a4e1a0/1678477807080/Surgical_Management_of_TBI.pdf,""
Международные,Нейротравма (BTF/CNS),Decompressive Craniectomy (2020 Update),https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/67b7f33381fe2b55703c825c/1740108595387/Update_Severe_TBI_Decompressive_Craniectomy.pdf,""
Международные,Нейротравма (BTF/CNS),Penetrating TBI (2nd Ed.),https://journals.lww.com/neurosurgery/Documents/NEUv97n6S-issue-text-proofs_WATERMARKED-clean-cover.pdf,""
Международные,Нейротравма (BTF/CNS),Prehospital TBI Management,https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/644c33531244c01b73e89e9d/1740067247222/Prehospital_3rd_Edition.pdf,""
Международные,Нейротравма (BTF/CNS),Lumbar Drainage in TBI,https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/67b7fe71671aae7313991653/1740111473539/Review_Lumbar_CSF_Neurosurgery.pdf,""
Международные,Нейротравма (BTF/CNS),Early Indicators of Prognosis in TBI,https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/640b7e10d035eb4d560e83c4/1678474769149/Prognosis.pdf,""
Международные,Нейротравма (BTF/CNS),Combat-Related Head Trauma,https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/640b8f196c0bb37c29ff2e2e/1678479130213/Field_Management_of_Combat-Related_TBI.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Low Back Pain (NASS),https://www.spine.org/Portals/0/assets/downloads/ResearchClinicalCare/Guidelines/LowBackPain.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Lumbar Disc Herniation (NASS),https://www.spine.org/Portals/0/Assets/Downloads/ResearchClinicalCare/Guidelines/LumbarDiscHerniation.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Lumbar Stenosis (NASS),https://www.spine.org/Portals/0/Assets/Downloads/ResearchClinicalCare/Guidelines/LumbarStenosis.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Lumbar Fusion Guideline (CNS),https://www.cns.org/guidelines/lumbar-fusion/lumbar-fusion-guideline-3,""
Международные,Спинальная хирургия (NASS/CNS),Degenerative Spondylolisthesis,https://www.spine.org/Portals/0/Assets/Downloads/ResearchClinicalCare/Guidelines/Spondylolisthesis.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Isthmic Spondylolisthesis,https://www.spine.org/Portals/0/Documents/ResearchClinicalCare/Guidelines/AdultIsthmicSpondylolisthesis.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Cervical Radiculopathy (NASS),https://www.spine.org/Portals/0/Assets/Downloads/ResearchClinicalCare/Guidelines/CervicalRadiculopathy.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Cervical Degenerative Disease (CNS),https://www.cns.org/guidelines/surgical-management-cervical-degenerative-disease/surgical-management-of-cervical-degenerative-disea,""
Международные,Спинальная хирургия (NASS/CNS),Osteoporotic Fractures (NASS),https://north-american-spine-society.foleon.com/ebooks-research/osteoporotic-vertebral-fractures-clinical-guidelines/,""
Международные,Спинальная хирургия (NASS/CNS),Neoplastic Vertebral Fractures,https://north-american-spine-society.foleon.com/ebooks-research/neoplastic-vertebral-fractures-clinical-guidelines/,""
Международные,Спинальная хирургия (NASS/CNS),Acute Cervical Spine/SCI (CNS),https://www.cns.org/guidelines/management-acute-cervical-spine-spinal-cord-injuries/introduction,""
Международные,Спинальная хирургия (NASS/CNS),Acute SCI (AO Spine),https://journals.sagepub.com/toc/gsja/14/3_suppl,""
Международные,Спинальная хирургия (NASS/CNS),Thoracolumbar Trauma (CNS),https://www.cns.org/guidelines/evaluation-treatment-patients-thoracolumbar-spine-trauma/1-introduction-methodology-2,""
Международные,Спинальная хирургия (NASS/CNS),Antithrombotics in Spine Surgery,https://north-american-spine-society.foleon.com/ebooks-research/antithrombotic-therapies-cpg/,""
