Регион,Раздел,Название документа,Ссылка,Теги
Российские,Функциональная нейрохирургия и Эпилепсия,Нормотензивная гидроцефалия у взрослых,https://ruans.org/Text/Guidelines/hydrocephalus_adults.pdf,""
Российские,Функциональная нейрохирургия и Эпилепсия,Мальформация Киари у взрослых,https://ruans.org/Text/Guidelines/chiari_malformation_adults.pdf,""
Российские,Периферическая Нервная система,Краниальные мононейропатии,https://cr.minzdrav.gov.ru/preview-cr/895_1,""
Российские,Периферическая Нервная система,Мононевропатии,https://cr.minzdrav.gov.ru/preview-cr/988_1,""
Российские,Периферическая Нервная система,Повреждения и заболевания периферической нервной системы,https://ruans.org/Text/Guidelines/peripheral_nerves.pdf,""
Российские,Детская нейрохирургия,Черепно-мозговая травма у детей,https://cr.minzdrav.gov.ru/preview-cr/493_3,""
Российские,Детская нейрохирургия,Врожденные аномалии костей черепа и лица,https://cr.minzdrav.gov.ru/preview-cr/474_2,""
Российские,Детская нейрохирургия,Внутрижелудочковое нетравматическое кровоизлияние (плод/новорожденный),https://cr.minzdrav.gov.ru/preview-cr/948_1,""
Российские,Детская нейрохирургия,Несиндромальные краниосиностозы,https://ruans.org/Text/Guidelines/children_sinostosis.pdf,""
Российские,Детская нейрохирургия,Постгеморрагическая гидроцефалия у новорожденных,https://ruans.org/Text/Guidelines/newborns_hydrocephalus.pdf,""
Российские,Детская нейрохирургия,Синдром фиксированного спинного мозга,https://ruans.org/Text/Guidelines/fixed_spinal_cord_children.pdf,""
Российские,Детская нейрохирургия,Опухоли головного мозга у детей грудного возраста,https://ruans.org/Text/Guidelines/brain_tumors_infants.pdf,""
Российские,Детская нейрохирургия,Медуллобластомы у детей,https://ruans.org/Text/Guidelines/children_medulloblastomas.pdf,""
Российские,Детская нейрохирургия,Нейрохирургическое лечение ДЦП,https://ruans.org/Text/Guidelines/children_cerebral_paralysis.pdf,""
Российские,Инфекции и Прочее,Абсцессы и эмпиемы головного мозга,https://ruans.org/Text/Guidelines/abscess.pdf,""
Российские,Инфекции и Прочее,Нейрореабилитация в нейрохирургии,https://ruans.org/Text/Guidelines/neurorehabilitation.pdf,""
Российские,Инфекции и Прочее,Доброкачественная внутричерепная гипертензия,https://ruans.org/Text/Guidelines/benign_intracranial_hypertension.pdf,""
Международные,Нейроонкология (NCCN/ASCO/EANO),NCCN Guidelines: CNS Cancers (Adults),https://www.nccn.org/professionals/physician_gls/pdf/cns.pdf,""
Международные,Нейроонкология (NCCN/ASCO/EANO),GBM: Newly Diagnosed (CNS),https://www.cns.org/guidelines/management-newly-diagnosed-glioblastoma/Intro-newly%20diagnosed%20glioblastoma,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Low Grade Glioma Guidelines (CNS),https://www.cns.org/guidelines/low-grade-glioma/low-grade-glioma-guidelines,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Brain Metastasis (EANO-ESMO),https://www.eano.eu/publications/eano-guidelines/eano-esmo-clinical-practice-guidelines-for-diagnosis-treatment-and-follow-up-of-patients-with-brain-metastasis-from-solid-tumours/,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Meningiomas (EANO),https://www.eano.eu/publications/eano-guidelines/eano-guideline-on-the-diagnosis-and-management-of-meningiomas/#c2503,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Acute Ischemic Stroke (AHA 2026),https://www.ahajournals.org/doi/10.1161/STR.0000000000000513,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Aneurysmal SAH (AHA 2023),https://www.ahajournals.org/doi/10.1161/STR.0000000000000436,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Spontaneous ICH (AHA 2022),https://www.ahajournals.org/doi/10.1161/STR.0000000000000407,""
Международные,Нейротравма (BTF/CNS),Severe TBI Management (4th Ed.),https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/640b5e97fa1baa040e5c59af/1678466712870/Management_of_Severe_TBI_4th_Edition.pdf,""
Международные,Нейротравма (BTF/CNS),Prehospital TBI Management,https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/644c33531244c01b73e89e9d/1740067247222/Prehospital_3rd_Edition.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Low Back Pain (NASS),https://www.spine.org/Portals/0/assets/downloads/ResearchClinicalCare/Guidelines/LowBackPain.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Lumbar Disc Herniation (NASS),https://www.spine.org/Portals/0/Assets/Downloads/ResearchClinicalCare/Guidelines/LumbarDiscHerniation.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Cervical Radiculopathy (NASS),https://www.spine.org/Portals/0/Assets/Downloads/ResearchClinicalCare/Guidelines/CervicalRadiculopathy.pdf,""
Международные,Детская нейрохирургия (ISPN/CNS),Pediatric Severe TBI (3rd Ed.),https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/640b74d5f7e7f910db5435ae/1678472405928/Pediatric_3rd_Edition.pdf,""
Международные,Детская нейрохирургия (ISPN/CNS),Pediatric Hydrocephalus (CNS),https://www.cns.org/guidelines/pediatric-hydrocephalus/1-introduction-methodology-4,""
